teff,rad,mass
4535.893314644734,0.6815994847822594,0.7
4540.455744682198,0.6828003887145588,0.7
4545.022763841674,0.6840034085085729,0.7
4549.703914347574,0.6852374163801138,0.7
4554.876524147566,0.6866020087728252,0.7
4560.0550147461045,0.6879693186359398,0.7
4565.457390008566,0.6894045577660205,0.7
4571.244961512404,0.6909562041999017,0.7
4577.039869846065,0.6925113429325047,0.7
4583.359830777521,0.6942103390366485,0.7
4589.830023506918,0.695951910678627,0.7
4596.606741371004,0.6977874183501465,0.7
4603.736831811802,0.6997313076376682,0.7
4611.100652624717,0.7017561553536026,0.7
4618.869198641941,0.7039203567001107,0.7
4626.947280726967,0.706181190355982,0.7
4635.444373780834,0.7085723367587953,0.7
4644.365987608813,0.7111197192379454,0.7
4653.534713036613,0.713759707907321,0.7
